0,5,1.75
0,15,2.1
0,25,2.4
0,35,2.6
0,45,2.4
0,55,2.1
0,65,1.75
0,75,1.75
0,85,1.75
0,95,1.75
0,105,1.75
0,115,1.75
1,5,2.15
1,15,2.15
1,25,2.15
1,35,2.15
1,45,2.15
1,55,2.15
1,65,2.15
1,75,2.7
1,85,3.7
1,95,3.7
1,105,3.7
1,115,3.7
2,5,2.75
2,15,2.75
2,25,2.75
2,35,2.75
2,45,2.5
2,55,2.5
2,65,2.5
2,75,2.75
2,85,2.75
2,95,2.75
2,105,2.8
2,115,3.3
3,5,3.25
3,15,3.25
3,25,3.25
3,35,3.25
3,45,3.25
3,55,3.5
3,65,3.5
3,75,3.5
3,85,3.25
3,95,3.25
3,105,2.9
3,115,2.75
4,5,3.84
4,15,3.686363636363636
4,25,3.5327272727272727
4,35,3.379090909090909
4,45,3.2254545454545456
4,55,3.071818181818182
4,65,2.918181818181818
4,75,2.7645454545454546
4,85,2.610909090909091
4,95,2.457272727272727
4,105,2.3036363636363637
4,115,2.15
