autoid,trajectory_id,connection_timestamp,connection_location,connection_location_wkt,antenna_id,cgi_hex,antenna_location,antenna_location_wkt
655,92,2020-01-13T09:32:00,01010000002AF64E77A46A0A41CBE4F7E4BEB72641,POINT(216404.558256076 744415.447203779),UNE4304Y,4250127A9DFAF,0101000020F707000029AE6BAE362B0A41DB1DFCDE7D802641,POINT(214374.835166321 737342.935517247)
656,92,2020-01-13T09:37:17,0101000000CA864784830F0A4147F220A9BDB42641,POINT(213488.439589551 744030.830329486),UNE1823X,4250127A9473D,0101000020F7070000841238A973020A41AB203D2B156F2641,POINT(213070.457626481 735114.584450742)
657,92,2020-01-13T09:42:33,0101000000F688AD29B8AB0941D32D31ABD8A02641,POINT(210295.020350523 741484.334359581),UNN0532W,4250127AA14CE,0101000020F70700006B6BC36EDAC009418CC714EE0DCE2641,POINT(210971.304083671 747270.965002285)
658,92,2020-01-13T09:46:18,0101000000BB277C93985509414566C1AC65972641,POINT(207539.072014151 740274.837413021),UNC4347W,4250127A7A9D4,0101000020F7070000ECB26383DE710841BD1F7EC239B32641,POINT(200251.814155004 743836.8798685)
659,92,2020-01-13T10:00:42,010100000055CE4EEE8DA709416822FA9247452641,POINT(210161.741361248 729763.787064624),UIN0719X,4250127A91C1D,0101000020F707000068E2A777139E0941865E01CC91422641,POINT(209858.433425683 729416.898447946)
660,92,2020-01-13T10:05:25,010100000062007173394A0941BB5161B729332641,POINT(207175.181367877 727444.858164362),UNE4001S,4250127899C4C,0101000020F70700006AD7F0B3D23F0A415E58FFCC5A162641,POINT(215034.337861712 723757.400385629)
661,92,2020-01-13T10:08:07,0101000000F5EE395FEE2409415A535BD354262641,POINT(205981.796497218 725802.412806134),UNC4219X,4250127A9A4D5,0101000020F707000069E4F99885930941F2EC81477C422641,POINT(209520.699695382 729406.139663128)
662,92,2020-01-13T10:10:50,01010000002D1A65E77DFE08410A053F54F5172641,POINT(204751.737985806 723962.664543302),UNC4872T,4250127A9BE53,0101000020F7070000FBC694390D090941E642177E67642641,POINT(205089.653115801 733747.74627122)
663,92,2020-01-13T10:16:36,010100000042DCF82AA1ED0841BD2438D64FF42541,POINT(204212.145982476 719399.918397091),UNS1802J,4250127C6466D,0101000020F7070000C9093A68FEB209412646DF1952BB2541,POINT(210527.800891949 712105.050531571)
664,92,2020-01-13T10:18:56,0101000000731AB656F2CE084169A7959FCAE72541,POINT(203230.292339522 717797.311688644),UNS1708J,4250127C642C1,0101000020F7070000A0A93628BA370841C67AB28116AB2541,POINT(198391.269635511 710027.253314816)
665,92,2020-01-13T10:25:55,0101000000DCE48AA356C00841E1FA8C8B98BB2541,POINT(202762.829854763 712140.272559967),UNS4457K,4250127C6AE1A,0101000020F7070000780448AD44A307418744B6F223D82541,POINT(193640.584610019 715793.974046842)
666,92,2020-01-13T10:34:33,0101000000C997F203C2D60841EE2DC1F122872541,POINT(203480.251927553 705425.472176967),UMN4573I,4250127C5B2AA,0101000020F707000045FFD3CA7DED084138C0273C64712541,POINT(204207.724037165 702642.117490775)
667,92,2020-01-13T10:41:07,0101000000B8AFE73532AC084144F3ECBE42602541,POINT(202118.276320813 700449.372901537),UNS4317X,4250127C6A8A9,0101000020F70700006F1081A74D0A0841EDF086380F962541,POINT(196937.706789139 707335.610404519)
