0,1,0.5
0,3,1.5
0,5,2.5
0,7,2.5
0,9,2.5
0,11,1.5
0,13,0.5
0,15,0.5
0,17,0.5
0,19,0.5
0,21,0.5
0,23,0.5
1,1,1.5
1,3,1.5
1,5,1.5
1,7,1.5
1,9,1.5
1,11,1.5
1,13,1.5
1,15,3.5
1,17,6.5
1,19,6.5
1,21,6.5
1,23,6.5
2,1,3.5
2,3,3.5
2,5,3.5
2,7,3.5
2,9,2.5
2,11,2.5
2,13,2.5
2,15,3.5
2,17,3.5
2,19,3.5
2,21,3.5
2,23,4.5
3,1,4.5
3,3,4.5
3,5,4.5
3,7,4.5
3,9,4.5
3,11,5.5
3,13,5.5
3,15,5.5
3,17,4.5
3,19,4.5
3,21,3.5
3,23,3.5
4,1,6.5
4,3,6.5
4,5,5.5
4,7,5.5
4,9,4.5
4,11,4.5
4,13,3.5
4,15,3.5
4,17,2.5
4,19,2.5
4,21,1.5
4,23,1.5
